date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20140501	1.29327530	1.12577752	1.31003706	1.19799239	0.35036906	1.25949088	1.44029353	1.51519237	1.18607552	0.48038627	1.42073538	1.48464614	1.16305409	1.24332154	0.63096895	1.62744752	1.53731043	1.76733129	1.47942376	0.54659037	1.23201314	1.76005938	1.02202375	1.27931560	0.71914785
20150501	1.07341850	0.93439534	1.08733076	0.99433368	0.29080632	1.04537743	1.19544363	1.25760967	0.98444268	0.39872061	1.17921036	1.23225629	0.96533489	1.03195688	0.52370423	1.35078144	1.27596766	1.46688497	1.22792172	0.45367001	1.02257091	1.46084929	0.84827971	1.06183195	0.59689271
20151129	0.81234843	0.91595811	1.02800059	1.01180896	0.47845663	0.86706883	1.17544949	1.19054580	0.98509896	0.58328551	1.00924462	1.22125614	0.96274662	1.04792643	0.71464366	1.14233255	1.24541682	1.42362356	1.21510774	0.62034282	0.85696524	1.41647428	0.83549583	1.09306109	0.85989276
20160501	0.75493467	0.90078914	1.04760730	1.01334429	0.55096996	0.82608819	1.14667690	1.19314933	0.99694991	0.67224491	0.95097250	1.23527241	0.92310560	1.06598425	0.83860052	1.09232688	1.24039614	1.41830206	1.25492752	0.74894911	0.82017642	1.39480114	0.81973612	1.07854605	0.92905706
20160801	0.78764915	0.91566980	1.05351102	0.98896873	0.54329306	0.86057067	1.14039862	1.18609786	0.98766100	0.67517936	0.99684167	1.23577189	0.91983473	1.09071565	0.82355917	1.12145901	1.21624994	1.40381384	1.25363064	0.72929633	0.87359655	1.43199658	0.83175552	1.08837438	0.88807172
20170430	0.92944908	0.92798400	1.03039980	1.01935279	0.43743140	0.92674541	1.14517879	1.16513503	0.97127008	0.55515599	1.10251033	1.24164820	0.89829826	0.99679160	0.67463553	1.24268401	1.31044412	1.41677499	1.25376582	0.61270130	0.95607233	1.47891378	0.80435270	1.06707811	0.70657474
20170701	0.95566966	0.93880105	1.05793489	1.03177713	0.41984039	0.96395895	1.17168471	1.22301603	1.00000000	0.54877509	1.15148373	1.25281770	0.91876373	0.99984694	0.67077797	1.26945986	1.30628516	1.43956798	1.25836280	0.61015254	0.97444235	1.52513323	0.84572983	1.12082751	0.70465778
20180201	0.71432337	0.92461971	1.04895097	1.04507494	0.60365616	0.77809619	1.14242058	1.17282807	1.00188999	0.72169933	0.94390131	1.23850579	0.90720737	1.00000000	0.85609236	1.03134107	1.29242025	1.43189458	1.27096296	0.79012035	0.78693562	1.51490575	0.82760716	1.08867660	0.91053625
20180801	0.98498399	0.92202471	1.04967887	1.01735624	0.41076647	0.98991702	1.16921375	1.20715786	0.98812374	0.53774504	1.14880889	1.24028094	0.92474157	1.00000000	0.64848523	1.28708549	1.31881631	1.42294300	1.24867846	0.58393542	0.97635404	1.49775013	0.83255126	1.08117218	0.66960952
20181001	0.95026793	0.92652501	1.04163400	1.02260679	0.43695218	0.95121325	1.13571709	1.17462286	0.98025419	0.54798449	1.09520238	1.22417303	0.90422976	1.00000000	0.66203595	1.24153207	1.28697471	1.39199494	1.23313015	0.59543249	0.96219392	1.48924432	0.84143863	1.08240575	0.69574850
20190201	0.81978480	0.92647903	1.05670826	1.04837371	0.55188143	0.86424029	1.14771916	1.19271174	1.00000000	0.67763405	0.97625888	1.23487077	0.91374668	1.02151325	0.80055281	1.13917192	1.31160117	1.42395998	1.27050758	0.73629063	0.87423106	1.49068868	0.84091087	1.06712372	0.84851351
20190401	0.86537836	0.91039988	1.03648595	1.03056963	0.49819052	0.89201800	1.12667784	1.16718943	0.98267119	0.61887805	1.02802340	1.21306363	0.90713888	1.00000000	0.73918349	1.17389907	1.28654568	1.40168553	1.25046174	0.66679412	0.88961038	1.46292903	0.79354618	1.04653552	0.77491111
20191001	0.88769070	0.86855344	1.00000000	1.01540368	0.40559921	0.90004529	1.08338343	1.11870354	0.97638610	0.52435022	1.02325033	1.16537093	0.87706413	1.00703290	0.64159498	1.15973207	1.23018822	1.37386897	1.25001976	0.58856465	0.91084938	1.42795375	0.77918134	1.05077882	0.67185002
